CabernetSauvignon,2011,6,2,5,6,2,5,0.0,17.0,0.0,3.0,0.0
CabernetSauvignon,2014,#,#,#,5,5,4,4609.0,1160.0,152446.0,8.0,100.0
CabernetSauvignon,2014,5,5,4,3,4,4,0.0,99.0,0.0,17.0,0.0
CabernetSauvignon,2014,3,4,4,4,3,5,154.0,58.0,438.0,10.0,6.0
CabernetSauvignon,2014,4,3,5,5,3,5,53.0,41.0,0.0,8.0,0.0
CabernetSauvignon,2014,5,3,5,5,2,5,0.0,101.0,1204.0,14.0,9.0
CabernetSauvignon,2014,#,#,#,4,3,4,4609.0,1160.0,152446.0,8.0,100.0
CabernetSauvignon,2014,4,3,4,4,3,4,0.0,99.0,0.0,17.0,0.0
CabernetSauvignon,2014,4,3,4,5,2,5,154.0,58.0,438.0,10.0,6.0
CabernetSauvignon,2014,5,2,5,5,2,5,53.0,41.0,0.0,8.0,0.0
CabernetSauvignon,2014,5,2,5,5,2,5,0.0,101.0,1204.0,14.0,9.0
CabernetSauvignon,2014,#,#,#,4,3,4,4609.0,1160.0,152446.0,8.0,100.0
CabernetSauvignon,2014,4,3,4,5,3,5,0.0,99.0,0.0,17.0,0.0
CabernetSauvignon,2014,5,3,5,5,2,5,154.0,58.0,438.0,10.0,6.0
CabernetSauvignon,2014,5,2,5,5,2,5,53.0,41.0,0.0,8.0,0.0
CabernetSauvignon,2014,5,2,5,6,2,5,0.0,101.0,1204.0,14.0,9.0
Merlot,2003,#,#,#,5,1,5,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,5,1,5,5,1,6,89.0,111.0,127.0,13.0,1.0
Merlot,2003,5,1,6,6,1,5,56.0,65.0,1330.0,10.0,13.0
Merlot,2003,#,#,#,5,2,5,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,5,2,5,6,1,6,89.0,111.0,127.0,13.0,1.0
Merlot,2003,6,1,6,6,1,6,56.0,65.0,1330.0,10.0,13.0
Merlot,2003,#,#,#,6,2,5,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,6,2,5,6,1,6,89.0,111.0,127.0,13.0,1.0
Merlot,2003,6,1,6,6,1,5,56.0,65.0,1330.0,10.0,13.0
Merlot,2003,#,#,#,5,1,5,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,5,1,5,5,1,5,89.0,111.0,127.0,13.0,1.0
Merlot,2003,5,1,5,5,1,6,56.0,65.0,1330.0,10.0,13.0
Merlot,2003,#,#,#,5,2,6,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,5,2,6,5,2,6,89.0,111.0,127.0,13.0,1.0
Merlot,2003,5,2,6,5,1,6,56.0,65.0,1330.0,10.0,13.0
Merlot,2003,#,#,#,5,2,5,94937.0,2464.0,741484.0,16.0,218.0
Merlot,2003,5,2,5,6,1,6,89.0,111.0,127.0,13.0,1.0
Merlot,2003,6,1,6,6,1,6,56.0,65.0,1330.0,10.0,13.0
Merlot,2004,#,#,#,4,3,5,111946.0,1923.0,1020822.0,15.0,359.0
Merlot,2004,4,3,5,4,3,5,0.0,124.0,0.0,15.0,0.0
Merlot,2004,4,3,5,5,2,5,0.0,126.0,1704.0,17.0,10.0
Merlot,2004,#,#,#,5,1,5,111946.0,1923.0,1020822.0,15.0,359.0
Merlot,2004,5,1,5,6,1,6,0.0,124.0,0.0,15.0,0.0
Merlot,2004,6,1,6,6,1,6,0.0,126.0,1704.0,17.0,10.0
